Date,UserID,JobID,Event
2022-01-10 10:23:52,733,44,summary
2022-01-10 10:25:10,733,44,detail_description
2022-01-10 10:27:32,172,473,summary
2022-01-10 10:28:57,172,473,detail_description
2022-01-10 10:31:27,474,55,summary
2022-01-10 10:31:51,474,55,detail_description
2022-01-10 10:33:49,474,55,view_similar_positions
2022-01-10 10:36:51,1242,486,summary
2022-01-10 10:39:32,1242,486,detail_description
2022-01-10 10:41:48,1242,486,view_employer_profile
2022-01-10 10:44:07,1319,161,summary
2022-01-10 10:45:23,1148,486,summary
2022-01-10 10:45:42,1319,161,detail_description
2022-01-10 10:46:21,1319,161,view_employer_profile
2022-01-10 10:46:50,1319,161,view_similar_positions
2022-01-10 10:48:12,1148,486,detail_description
2022-01-10 11:23:27,1730,397,summary
2022-01-10 11:25:21,1730,397,detail_description
2022-01-10 11:37:05,1183,157,summary
2022-01-10 11:37:55,1183,157,detail_description
2022-01-10 11:45:35,138,418,summary
2022-01-10 11:45:55,138,418,detail_description
2022-01-10 11:47:16,941,121,summary
2022-01-10 11:47:47,941,121,detail_description
2022-01-10 11:47:54,138,418,view_similar_positions
2022-01-10 11:48:25,941,121,view_employer_profile
2022-01-10 12:13:00,1162,60,summary
2022-01-10 12:15:44,1162,60,detail_description
2022-01-10 12:16:23,1162,60,view_similar_positions
2022-01-10 12:31:33,911,557,summary
2022-01-10 12:32:42,911,557,detail_description
2022-01-10 12:33:21,254,93,summary
2022-01-10 12:34:05,911,557,view_similar_positions
2022-01-10 12:34:47,254,93,detail_description
2022-01-10 12:43:12,1793,497,summary
2022-01-10 12:46:05,1793,497,detail_description
2022-01-10 12:48:21,1793,497,view_employer_profile
2022-01-10 12:48:52,1793,497,view_similar_positions
2022-01-10 12:49:07,1415,159,summary
2022-01-10 12:49:46,1415,159,detail_description
2022-01-10 12:53:04,256,303,summary
2022-01-10 12:55:50,256,303,detail_description
2022-01-10 12:56:03,256,303,view_similar_positions
2022-01-10 13:20:06,1559,475,summary
2022-01-10 13:21:19,1559,475,detail_description
2022-01-10 13:29:55,1283,586,summary
2022-01-10 13:32:43,1283,586,detail_description
2022-01-10 13:35:24,1283,586,view_employer_profile
2022-01-10 13:36:56,1283,586,view_similar_positions
2022-01-10 14:09:55,571,455,summary
2022-01-10 14:10:36,571,455,detail_description
2022-01-10 14:55:33,647,252,summary
2022-01-10 14:57:02,1198,591,summary
2022-01-10 14:57:33,8,165,summary
2022-01-10 14:57:44,647,252,detail_description
2022-01-10 14:59:08,647,252,view_employer_profile
2022-01-10 14:59:13,1198,591,detail_description
2022-01-10 14:59:18,8,165,detail_description
2022-01-10 15:01:41,1198,591,view_similar_positions
2022-01-10 15:05:16,837,595,summary
2022-01-10 15:07:42,837,595,detail_description
2022-01-10 15:15:57,656,351,summary
2022-01-10 15:16:47,656,351,detail_description
2022-01-10 15:19:33,281,344,summary
2022-01-10 15:21:52,960,365,summary
2022-01-10 15:21:56,281,344,detail_description
2022-01-10 15:22:05,55,407,summary
2022-01-10 15:22:22,281,344,view_similar_positions
2022-01-10 15:22:27,960,365,detail_description
2022-01-10 15:23:05,55,407,detail_description
2022-01-10 15:25:01,55,407,view_similar_positions
2022-01-10 15:43:30,1674,367,summary
2022-01-10 15:46:04,1674,367,detail_description
2022-01-10 15:48:12,1674,367,view_employer_profile
2022-01-10 15:50:59,547,271,summary
